Fecha,MemoriaUsadaJVM(bytes)
2020-08-03 04:10:11,137458352
2020-08-03 04:10:21,70171152
2020-08-03 04:10:31,123451664
2020-08-03 04:10:41,102836488
2020-08-03 04:10:51,88978784
2020-08-03 04:11:01,91328432
2020-08-03 04:11:11,152127632
2020-08-03 04:11:21,110971352
2020-08-03 04:11:31,110595960
2020-08-03 04:11:41,139554112
2020-08-03 04:11:51,152919168
2020-08-03 04:12:01,75254448
2020-08-03 04:12:11,84351464
2020-08-03 04:12:21,97662296
2020-08-03 04:12:31,144311920
2020-08-03 04:12:41,81304496
2020-08-03 04:12:51,91759832
2020-08-03 04:13:01,141509512
2020-08-03 04:13:11,63510672
2020-08-03 04:13:21,90832136
2020-08-03 04:13:31,122160184
2020-08-03 04:13:41,130474032
2020-08-03 04:13:51,143302744
2020-08-03 04:14:01,100727368
2020-08-03 04:14:11,72765192
2020-08-03 04:14:21,134510624
2020-08-03 04:14:31,123908552
2020-08-03 04:14:41,136904584
2020-08-03 04:14:51,155764752
2020-08-03 04:15:01,107594120
2020-08-03 04:15:11,74507800
2020-08-03 04:15:21,112893000
2020-08-03 04:15:31,82078368
2020-08-03 04:15:41,145247696
2020-08-03 04:15:51,115988296
2020-08-03 04:16:01,91829816
2020-08-03 04:16:11,96532400
2020-08-03 04:16:21,115587112
2020-08-03 04:16:31,156039568
2020-08-03 04:16:41,88825000
2020-08-03 04:16:51,111050432
2020-08-03 04:17:01,62026360
2020-08-03 04:17:11,120119688
2020-08-03 04:17:21,76440760
2020-08-03 04:17:31,159979392
2020-08-03 04:17:41,105754696
2020-08-03 04:17:51,132800376
2020-08-03 04:18:01,59554536
2020-08-03 04:18:11,60970360
2020-08-03 04:18:21,70978744
2020-08-03 04:18:31,72375208
2020-08-03 04:18:41,73732728
2020-08-03 04:18:51,88751336
2020-08-03 04:19:01,133916240
2020-08-03 04:19:11,149788744
2020-08-03 04:19:22,89792136
2020-08-03 04:19:32,143490856
2020-08-03 04:19:42,100831984
2020-08-03 04:19:52,135689768
2020-08-03 04:20:02,92081992
2020-08-03 04:20:12,97527440
2020-08-03 04:20:22,109034080
2020-08-03 04:20:32,162203936
2020-08-03 04:20:42,164458032
2020-08-03 04:20:52,85041416
2020-08-03 04:21:02,131108552
2020-08-03 04:21:12,96482480
2020-08-03 04:21:22,74898528
2020-08-03 04:21:32,129215952
2020-08-03 04:21:42,79536728
2020-08-03 04:21:52,134591384
2020-08-03 04:22:02,75395432
2020-08-03 04:22:12,141390424
2020-08-03 04:22:22,117534296
2020-08-03 04:22:32,150862568
2020-08-03 04:22:42,152209368
2020-08-03 04:22:52,77358560
2020-08-03 04:23:02,93700536
2020-08-03 04:23:12,95063608
2020-08-03 04:23:22,129584048
2020-08-03 04:23:32,82942320
2020-08-03 04:23:42,117359496
2020-08-03 04:23:52,85345864
2020-08-03 04:24:02,122813824
2020-08-03 04:24:12,124594936
2020-08-03 04:24:22,141647344
2020-08-03 04:24:32,102145560
2020-08-03 04:24:42,139273592
2020-08-03 04:24:52,109725168
2020-08-03 04:25:02,93365448
2020-08-03 04:25:12,150661424
2020-08-03 04:25:22,110540384
2020-08-03 04:25:32,89680016
2020-08-03 04:25:42,121274176
2020-08-03 04:25:52,136660984
2020-08-03 04:26:02,70926592
2020-08-03 04:26:12,87362584
2020-08-03 04:26:22,104243080
2020-08-03 04:26:32,161216824
2020-08-03 04:26:42,103826848
2020-08-03 04:26:52,84222712
2020-08-03 04:27:02,87656376
2020-08-03 04:27:12,165536024
2020-08-03 04:27:22,144576896
2020-08-03 04:27:32,126764328
2020-08-03 04:27:42,88328800
2020-08-03 04:27:52,164725896
2020-08-03 04:28:02,169425736
2020-08-03 04:28:12,77659968
2020-08-03 04:28:22,126779808
2020-08-03 04:28:32,156606688
2020-08-03 04:28:42,167489384
2020-08-03 04:28:52,178732432
2020-08-03 04:29:02,143083176
2020-08-03 04:29:12,84956464
2020-08-03 04:29:22,149211032
2020-08-03 04:29:32,106950840
2020-08-03 04:29:42,142026640
2020-08-03 04:29:52,160837632
2020-08-03 04:30:02,115423160
2020-08-03 04:30:12,162743856
2020-08-03 04:30:23,109282328
2020-08-03 04:30:33,97504336
2020-08-03 04:30:43,144419584
2020-08-03 04:30:53,95459664
2020-08-03 04:31:03,117374584
2020-08-03 04:31:13,118732416
2020-08-03 04:31:23,148701704
2020-08-03 04:31:33,187399176
2020-08-03 04:31:43,103188664
2020-08-03 04:31:53,163003768
2020-08-03 04:32:03,102589448
2020-08-03 04:32:13,146186712
2020-08-03 04:32:23,129787560
2020-08-03 04:32:33,89415944
2020-08-03 04:32:43,145298032
2020-08-03 04:32:53,165969952
2020-08-03 04:33:03,96787128
2020-08-03 04:33:13,168309592
2020-08-03 04:33:23,86821368
2020-08-03 04:33:33,88916784
2020-08-03 04:33:43,90315864
2020-08-03 04:33:53,108604528
2020-08-03 04:34:03,125086032
2020-08-03 04:34:13,126412720
2020-08-03 04:34:23,160809456
2020-08-03 04:34:33,105917432
2020-08-03 04:34:43,151433936
2020-08-03 04:34:53,184304816
2020-08-03 04:35:03,143938616
2020-08-03 04:35:13,185051528
2020-08-03 04:35:23,96219936
2020-08-03 04:35:33,157802504
2020-08-03 04:35:43,114547152
2020-08-03 04:35:53,152298000
2020-08-03 04:36:03,86612472
2020-08-03 04:36:13,132648808
2020-08-03 04:36:23,187246488
2020-08-03 04:36:33,158418136
2020-08-03 04:36:43,98154224
2020-08-03 04:36:53,129838688
2020-08-03 04:37:03,172746784
2020-08-03 04:37:13,174098208
2020-08-03 04:37:23,188909648
2020-08-03 04:37:33,131945784
2020-08-03 04:37:43,184366352
