Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 01:12:51,2,42.63,2042
2020-08-03 01:13:01,2,42.79,2034
2020-08-03 01:13:11,0,42.84,2034
2020-08-03 01:13:21,2,42.87,2033
2020-08-03 01:13:31,0,42.87,2033
2020-08-03 01:13:41,0,42.86,2033
2020-08-03 01:13:51,0,42.88,2033
2020-08-03 01:14:11,0,42.88,2033
2020-08-03 01:14:31,0,42.87,2033
2020-08-03 01:14:41,0,42.89,2032
2020-08-03 01:14:51,2,42.98,2030
2020-08-03 01:15:11,0,42.99,2029
2020-08-03 01:15:21,2,43,2029
2020-08-03 01:15:31,0,42.99,2029
2020-08-03 01:15:41,0,42.99,2029
2020-08-03 01:15:51,0,43,2028
2020-08-03 01:16:01,0,43.01,2028
2020-08-03 01:16:11,0,43.06,2025
2020-08-03 01:16:21,16,43.04,2027
2020-08-03 01:16:31,0,43.01,2027
2020-08-03 01:16:41,0,43.03,2027
2020-08-03 01:16:51,0,43.04,2027
2020-08-03 01:17:01,8,42.99,2028
2020-08-03 01:17:11,0,43.01,2028
2020-08-03 01:17:21,5,42.59,2043
2020-08-03 01:17:31,0,42.59,2043
2020-08-03 01:17:41,0,42.59,2043
2020-08-03 01:17:51,5,42.6,2043
2020-08-03 01:18:01,0,42.59,2043
2020-08-03 01:18:11,0,42.63,2042
2020-08-03 01:18:31,0,42.77,2036
2020-08-03 01:18:41,0,42.78,2036
2020-08-03 01:18:51,4,42.75,2037
2020-08-03 01:19:01,2,42.75,2037
2020-08-03 01:19:11,0,42.76,2037
2020-08-03 01:19:21,7,42.79,2036
2020-08-03 01:19:31,2,42.77,2036
2020-08-03 01:19:51,2,42.86,2033
2020-08-03 01:20:01,0,42.84,2034
2020-08-03 01:20:11,0,42.84,2034
2020-08-03 01:20:21,10,42.85,2034
2020-08-03 01:20:31,0,42.84,2034
2020-08-03 01:20:41,0,42.89,2033
2020-08-03 01:21:01,0,42.87,2033
2020-08-03 01:21:11,0,42.85,2034
2020-08-03 01:21:21,2,42.86,2033
2020-08-03 01:21:31,0,42.85,2033
2020-08-03 01:21:41,0,42.83,2034
2020-08-03 01:21:51,2,42.85,2034
2020-08-03 01:22:01,0,42.86,2034
2020-08-03 01:22:11,0,42.85,2034
2020-08-03 01:22:21,5,42.8,2035
2020-08-03 01:22:31,0,42.82,2035
2020-08-03 01:22:41,0,42.83,2034
2020-08-03 01:22:51,0,42.84,2035
2020-08-03 01:23:01,0,42.83,2034
2020-08-03 01:23:11,0,42.65,2040
2020-08-03 01:23:21,4,42.69,2040
